"index","average_price","devex value (USD)","volume","date"
116,1915,6.702500000000001,32,2013-04-12 00:00:00.000
117,1987,6.9545,32,2013-04-13 00:00:00.000
118,1610,5.635,42,2013-04-14 00:00:00.000
119,1867,6.5345,22,2013-04-15 00:00:00.000
120,1831,6.4085,28,2013-04-16 00:00:00.000
121,2117,7.4095,20,2013-04-17 00:00:00.000
122,2869,10.041500000000001,34,2013-04-18 00:00:00.000
123,2914,10.199,61,2013-04-19 00:00:00.000
124,2914,10.199,51,2013-04-20 00:00:00.000
125,2686,9.401,44,2013-04-21 00:00:00.000
126,2512,8.792,15,2013-04-22 00:00:00.000
127,2659,9.3065,29,2013-04-23 00:00:00.000
128,3337,11.6795,21,2013-04-24 00:00:00.000
129,2900,10.15,28,2013-04-25 00:00:00.000
130,2604,9.114,32,2013-04-26 00:00:00.000
131,2381,8.3335,41,2013-04-27 00:00:00.000
132,2915,10.2025,31,2013-04-28 00:00:00.000
133,2747,9.6145,15,2013-04-29 00:00:00.000
134,2929,10.2515,18,2013-04-30 00:00:00.000
135,2603,9.1105,21,2013-05-01 00:00:00.000
136,2954,10.339,22,2013-05-02 00:00:00.000
137,2461,8.6135,30,2013-05-03 00:00:00.000
138,2661,9.3135,39,2013-05-04 00:00:00.000
139,2627,9.1945,25,2013-05-05 00:00:00.000
140,3326,11.641,22,2013-05-06 00:00:00.000
141,2820,9.870000000000001,23,2013-05-07 00:00:00.000
142,2897,10.1395,16,2013-05-08 00:00:00.000
143,2682,9.387,22,2013-05-09 00:00:00.000
144,3164,11.074,22,2013-05-10 00:00:00.000
145,2607,9.1245,47,2013-05-11 00:00:00.000
146,2651,9.278500000000001,34,2013-05-12 00:00:00.000
147,2431,8.5085,18,2013-05-13 00:00:00.000
148,3179,11.1265,23,2013-05-14 00:00:00.000
149,2913,10.195500000000001,16,2013-05-15 00:00:00.000
150,2667,9.3345,28,2013-05-16 00:00:00.000
151,2812,9.842,23,2013-05-17 00:00:00.000
152,2653,9.2855,33,2013-05-18 00:00:00.000
153,2760,9.66,40,2013-05-19 00:00:00.000
154,2962,10.367,25,2013-05-20 00:00:00.000
155,3295,11.5325,23,2013-05-21 00:00:00.000
156,3210,11.235,33,2013-05-22 00:00:00.000
157,3009,10.5315,26,2013-05-23 00:00:00.000
158,2556,8.946,54,2013-05-24 00:00:00.000
159,2562,8.967,46,2013-05-25 00:00:00.000
160,2534,8.869,42,2013-05-26 00:00:00.000
161,2768,9.688,40,2013-05-27 00:00:00.000
162,3060,10.71,10,2013-06-07 00:00:00.000
163,2703,9.4605,34,2013-06-08 00:00:00.000
164,2865,10.0275,29,2013-06-09 00:00:00.000
165,2646,9.261000000000001,20,2013-06-10 00:00:00.000
166,3277,11.4695,27,2013-06-11 00:00:00.000
167,2870,10.045,20,2013-06-12 00:00:00.000
