"index","id","roblox_assetid","roblox_rap","roblox_value","robux_volume_30d_total","popularity_position","is_valued","is_rare","is_projected","roblox_name","roblox_acronym","roblox_lowestprice","price_updated_at","went_limited_at"
39,77,188003914,690341,2500000,0,14,true,true,false,"Countess of the Federation","CotF",8000000,2023-07-27 20:58:02.911,2014-11-22 02:02:26.820
40,60,17449820,799288,2500000,0,1248,true,true,false,"The Crown of Roses","CoR",20000000,2023-07-26 04:57:24.026,2009-10-29 18:25:54.630
41,34,52458643,100398,2500000,0,1948,true,true,false,"Bling Boy's Raiment","BBR",618033999,2021-04-07 20:54:41.144,2011-05-24 05:00:00.000
42,22,2799053,1523890,2300000,0,1407,true,true,false,"The Golden Robloxian","GR",4000000,2023-06-26 16:04:09.309,2009-10-06 05:00:00.000
43,106,1180419124,842420,2150000,2500000,2329,true,true,false,"Disgraced Baron of the Federation","Baron",3751111,2023-07-25 19:43:28.329,2017-11-17 06:00:00.000
44,8,55907562,83367,2000000,0,426,true,true,false,"Memento Mori","MM",99999999,2022-12-03 21:04:15.748,2011-07-08 22:19:53.430
45,102,323417812,1004194,2000000,0,1245,true,true,false,"WC Ultimates: Aquamarine Attitude","WCUAA",618033988,2023-07-18 18:16:05.739,2015-11-25 20:22:22.473
46,142,489196035,377053,1900000,0,1615,true,true,false,"Bluesteel Bling $$ Necklace","BSB",5000000,2023-07-22 16:00:24.663,2016-08-26 23:22:00.957
47,26,31312357,696670,1900000,0,2049,true,true,false,"Telamon Hair","TMH",6666666,2023-08-02 16:05:15.260,2016-12-02 06:00:00.000
48,19752,1191135761,1958665,1900000,1899999,2369,true,false,false,"Red Void Star","RV",2800000,2023-07-17 18:03:16.560,2022-06-15 02:31:00.000
49,19,100425940,973003,1800000,0,969,true,true,false,"Tough Guy Cap ","TGC",0,2023-05-26 01:51:37.411,2012-12-13 18:39:29.227
50,121,1016143686,1927230,1800000,2840000,1548,true,false,false,"White Sparkle Time Fedora","WSTF",2858000,2023-07-16 00:52:08.823,2017-09-03 05:00:00.000
51,123,180660043,979642,1750000,0,1268,true,true,false,"Red Glowing Eyes","RGE",2598900,2023-08-07 09:29:35.498,2014-10-03 21:59:17.417
52,62,32567578,640600,1700000,0,1979,true,true,false,"Decklace","Deck",9000000,2023-08-01 04:21:44.643,2010-08-09 21:47:55.403
53,185,439984665,382338,1700000,0,1943,true,true,false,"Duchess of the Federation","DuotF",6000000,2023-06-21 14:33:05.088,2016-06-23 18:39:12.667
54,29,207207025,50371,1700000,0,1411,true,true,false,"Crimson Thug Shades","CTS",105000000,2023-07-11 21:21:36.426,2015-01-24 00:10:25.760
55,78,42211680,1608123,1700000,0,327,true,false,false,"Red Domino Crown","RDC",4200000,2023-07-14 06:07:35.513,2013-08-15 05:00:00.000
56,49,416832622,107875,1600000,0,441,true,true,false,"Wings of Liberty","WoL",3250000,2023-04-07 23:46:37.119,2016-05-20 00:14:39.710
57,89,98346834,739929,1550000,0,2201,true,true,false,"Bluesteel Fedora","BSF",3000000,2023-07-12 19:04:37.995,2012-11-21 01:35:39.993
58,20088,382880833,1357057,1500000,1200000,1729,true,true,false,"Lord of the Tixeration","LotT",1999999,2023-06-17 19:02:16.386,2022-11-25 06:00:00.000
59,45,20573086,497128,1500000,0,662,true,true,false,"): Red Grind","RG",7200000,2023-08-04 20:03:34.948,2010-01-12 00:20:06.393
60,150,1125510,1628011,1450000,13193849,2466,true,false,false,"The Void Star","Void",1738000,2023-08-05 23:36:48.835,2010-08-03 05:00:00.000
61,234,439946249,950880,1450000,0,2001,true,false,false,"Black Iron King of the Night","BIKotN",2098000,2023-08-07 02:12:01.047,2016-06-23 22:40:38.720
62,2046,148791559,145650,1400000,0,2257,true,true,false,"Antenna Antlers","AA",0,2022-08-23 22:28:32.285,2015-09-05 05:00:00.000
63,13,73791866,81699,1300000,0,2260,true,true,false,"Dark Assassin","DA",618033988,2021-04-07 20:54:41.144,2012-03-02 22:59:37.820
64,38,14671091,84516,1250000,0,1802,true,true,false,"Gaze of Socom1880","Socom",6000000,2023-07-23 18:11:34.677,2010-06-10 05:00:00.000
65,133,1285307,1346182,1250000,3099300,2230,true,false,false,"Sparkle Time Fedora","STF",1600000,2023-08-05 04:42:26.905,2009-10-05 17:06:00.000
66,39,47697285,316498,1250000,0,2167,true,true,false,"): Purple Indy","Indy",2500000,2023-08-04 01:24:47.919,2011-03-11 23:34:35.660
67,191,878889105,476765,1200000,0,491,true,true,false,"Archduchess of the Federation","AdotF",1600000,2023-08-06 04:00:11.896,2017-06-22 19:08:06.697
68,53,8795521,187378,1200000,0,1470,true,true,false,"Gold ROBLOX Music Video Award","GRMVA",8500000,2023-07-27 12:24:50.993,2009-10-05 05:00:00.000
69,99,22546563,354081,1200000,0,1527,true,true,false,"): Gold Ollie","Ollie",4400000,2023-07-04 20:40:42.334,2010-02-18 06:00:00.000
70,47,35292167,581160,1200000,0,837,true,true,false,"Double Platinum DJ","DPDJ",5734173,2023-08-06 06:25:11.357,2010-09-18 00:25:23.820
71,98,96103379,1263399,1150000,2450000,2347,true,false,false,"Dominus Vespertilio","Vesp",1200000,2023-08-03 21:01:36.937,2013-02-15 06:00:00.000
